Advisor_Id,Investment_Id,Transaction_Type
990003,120816,0.0
990007,120821,0.2563200387963926
990009,120816,0.25
990010,120816,0.0
990012,120816,0.0
990016,120821,1.0
990018,120816,0.5
990022,120816,0.0
990024,120816,0.0
990043,120816,0.0
990044,120816,0.07692307692307693
990046,120816,0.0
990051,120816,0.2727272727272727
990058,120816,0.22798323258095127
990059,120816,0.0
990060,120816,0.2702702702702703
990063,120816,0.0
990072,120816,0.1
990074,120816,0.0
990082,120823,1.0
990090,120816,0.3333333333333333
990091,120816,0.75
990101,120816,0.5
990125,120816,0.0
990128,120816,0.23076923076923078
990130,120816,0.0
990131,120816,0.2222222222222222
990146,120816,0.30009870905968083
990147,120816,0.0
990150,120816,1.0
990164,120816,0.0
990175,120816,0.0
990175,120821,1.0
990175,105561,0.375
990177,120816,0.1875
990180,120816,0.8571428571428571
990180,120821,0.75
990182,105561,0.3333333333333333
990182,120816,1.0
990185,105561,0.3333333333333333
990186,120816,1.0
990217,120816,0.125
990278,120816,0.12121212121212122
990279,120816,0.0
90020,120816,0.3333333333333333
990281,120816,0.0
990282,111794,0.09871772623378386
990296,120816,0.16666666666666666
990296,120821,0.0
990303,120816,1.0
990305,106023,0.5714285714285714
990305,105561,1.0
990305,120816,1.0
990309,120816,0.2
990312,120821,0.5
990318,120816,0.3333333333333333
990330,120816,0.5833333333333334
990338,120816,0.16666666666666666
990339,120821,0.0
990339,120816,0.23333333333333334
990341,120816,0.6666666666666666
990356,120816,0.6
990357,120816,0.75
990365,120816,0.0
990376,120816,0.25
990391,120816,0.09803921568627451
990406,120816,1.0
990412,120816,0.0
990415,120816,0.0
990421,105561,0.0
990424,120816,0.0
990425,120816,0.0
990427,120821,1.0
990430,105561,1.0
990430,120821,0.6666666666666666
990436,120816,0.5
990437,120816,0.0
990443,120816,0.0
990445,120816,0.4583333333333333
990454,120816,0.18181818181818182
990456,120816,0.0
990460,120816,0.4355807220272498
990463,120816,0.3531560830376912
990468,120816,1.0
990469,105561,1.0
990488,120816,0.6
990494,120816,0.09090909090909091
990498,120821,1.0
990498,120816,0.72
990499,120816,0.6666666666666666
990505,120816,0.16666666666666666
990508,120816,1.0
990512,120816,0.18181818181818182
990528,120821,0.3648214507842605
990529,120816,0.6190476190476191
990543,120816,0.2
990548,120816,0.0
990549,120816,0.26103385830843356
990551,120816,0.2727272727272727
990578,120816,0.22580645161290322
990595,120816,0.0
990602,120816,0.09090909090909091
990604,105561,0.5
990611,120816,0.05714285714285714
990617,120816,1.0
990635,120816,0.16666666666666666
990637,120816,0.0
990642,120816,0.6666666666666666
990650,120816,0.6666666666666666
990657,120816,0.19230769230769232
990686,120821,0.39174188041264524
990687,120816,0.0
990693,120816,0.0
990700,120816,0.0
990708,120816,0.8
990714,120816,0.0
990719,120816,0.3333333333333333
990719,120821,0.375
990720,120816,0.17647058823529413
990731,120816,0.0
990732,120816,0.11764705882352941
990734,120816,0.38095238095238093
990737,120821,0.6
90067,120816,0.5
990753,120816,0.4
990764,120816,0.3966013344167607
990766,120816,0.6
990771,120816,0.14285714285714285
990774,120816,0.18181818181818182
990786,120816,0.21428571428571427
990789,120816,0.0
990789,120821,0.2757308717957841
990796,120816,0.2222222222222222
990816,120821,0.3634673924192798
990816,120816,0.875
990818,120816,0.6666666666666666
990825,120816,0.13333333333333333
990832,120816,0.3333333333333333
990833,120816,0.3870967741935484
990840,120816,0.08333333333333333
990841,120816,0.0
990845,120816,0.0
990846,105561,0.36363636363636365
990847,120816,0.23076923076923078
990849,120816,0.14285714285714285
990850,120816,0.0
990853,120816,0.0
990867,120816,0.4473684210526316
990871,120816,0.0
990873,120816,0.5
990878,120816,0.52
990882,120816,0.6666666666666666
990888,120816,0.5416666666666666
990890,120816,0.3333333333333333
990902,120816,0.375
990902,120821,0.0
990904,120816,1.0
990911,120816,0.6666666666666666
990914,120816,0.125
990917,120816,0.5
990919,120816,0.3526494592494099
990925,120816,0.5
990926,120816,0.2
990944,120816,0.4554154514951503
990945,120816,1.0
990959,120816,0.1111111111111111
990962,120816,0.0
990971,120816,0.3333333333333333
990976,120816,0.3
990980,120816,1.0
990985,120816,0.1875
990991,120816,0.0625
990996,106364,0.44813250145843814
991001,120816,0.18181818181818182
991012,120816,0.875
991012,111794,0.0
991013,120816,0.18518518518518517
991014,106366,0.0
991016,120816,0.4
991021,120816,0.4
